"序号","旧路径","新路径"
"30","docs/archive/phases/phase-06-provider-single-answer-evaluation.md","docs/archive/phases/第06期-服务商接口与单题证据反馈.md"
"31","docs/archive/phases/phase-07-entitlement-interview-plan.md","docs/archive/phases/第07期-权益预检与面试计划.md"
"32","docs/archive/phases/phase-08-session-outbox-recovery.md","docs/archive/phases/第08期-会话状态事务发件箱任务与恢复地基.md"
"33","docs/archive/phases/phase-09-text-interview-agent.md","docs/archive/phases/第09期-文本面试智能体闭环.md"
"34","docs/archive/phases/phase-10-evaluation-report-quality.md","docs/archive/phases/第10期-评测报告与质量门.md"
"35","docs/archive/phases/phase-11-learning-dashboard.md","docs/archive/phases/第11期-学习教练复练与看板.md"
"36","docs/archive/phases/phase-12-audio-asr.md","docs/archive/phases/第12期-音频语音识别与转写确认.md"
"37","docs/archive/phases/phase-13-cascade-voice.md","docs/archive/phases/第13期-级联语音面试闭环.md"
"38","docs/archive/phases/phase-14-resilience-redis-flags.md","docs/archive/phases/第14期-多实例韧性缓存恢复与功能开关.md"
"39","docs/archive/phases/phase-15-privacy-admin-audit.md","docs/archive/phases/第15期-隐私删除管理员权限与审计.md"
"40","docs/archive/phases/phase-16-payment-ledger.md","docs/archive/phases/第16期-订单支付额度结算与成本账本.md"
"41","docs/archive/phases/phase-17-production-operations.md","docs/archive/phases/第17期-生产运维监控备份与回滚准备.md"
"42","docs/archive/phases/phase-18-system-validation-release.md","docs/archive/phases/第18期-系统审查浏览器验收与上线就绪.md"
"43","docs/archive/phases/phase-19-ruoyi-platform-convergence.md","docs/archive/phases/第19期-若依身份与后端单体收敛.md"
"44","docs/archive/phases/review-checklist.md","docs/archive/phases/十八期路线审查清单.md"
"45","docs/archive/phases/window-prompts/code-landing-wave3-index.md","docs/archive/phases/window-prompts/第3波代码落地多窗口提示词索引.md"
"46","docs/archive/phases/window-prompts/code-landing-wave4-index.md","docs/archive/phases/window-prompts/第4波入站与前端落地多窗口提示词索引.md"
"47","docs/archive/phases/window-prompts/window-00-coordinator.md","docs/archive/phases/window-prompts/窗口00-协调与冲突控制.md"
"48","docs/archive/phases/window-prompts/window-01-decision-proposal.md","docs/archive/phases/window-prompts/窗口01-门禁决策提案.md"
"49","docs/archive/phases/window-prompts/window-02-prototype.md","docs/archive/phases/window-prompts/窗口02-探索性原型.md"
"50","docs/archive/phases/window-prompts/window-03-architecture-contracts.md","docs/archive/phases/window-prompts/窗口03-数据接口状态与时序契约.md"
"51","docs/archive/phases/window-prompts/window-04-quality-dor.md","docs/archive/phases/window-prompts/窗口04-就绪定义验证与验收设计.md"
"52","docs/archive/phases/window-prompts/window-05-task-package.md","docs/archive/phases/window-prompts/窗口05-功能控制页任务与执行包.md"
"53","docs/archive/phases/window-prompts/window-10-foundation-coordinator.md","docs/archive/phases/window-prompts/窗口10-共享脚手架与版本协调.md"
"54","docs/archive/phases/window-prompts/window-11-domain-application.md","docs/archive/phases/window-prompts/窗口11-领域与应用层.md"
"55","docs/archive/phases/window-prompts/window-12-adapters-boot.md","docs/archive/phases/window-prompts/窗口12-适配器与启动层.md"
"56","docs/archive/phases/window-prompts/window-13-frontend.md","docs/archive/phases/window-prompts/窗口13-前端壳.md"
"57","docs/archive/phases/window-prompts/window-14-contracts-test-support.md","docs/archive/phases/window-prompts/窗口14-契约与测试支持.md"
"58","docs/archive/phases/window-prompts/window-15-integration-review.md","docs/archive/phases/window-prompts/窗口15-集成只读审查.md"
"59","docs/archive/phases/window-prompts/window-20-wave3-coordinator.md","docs/archive/phases/window-prompts/窗口20-第3波协调与冲突控制.md"
"60","docs/archive/phases/window-prompts/window-21-evaluation-report-learning.md","docs/archive/phases/window-prompts/窗口21-评测报告与学习.md"
"61","docs/archive/phases/window-prompts/window-22-persistence-migrations.md","docs/archive/phases/window-prompts/窗口22-持久化与数据库迁移.md"
"62","docs/archive/phases/window-prompts/window-23-core-application-services.md","docs/archive/phases/window-prompts/窗口23-核心应用服务.md"
"63","docs/archive/phases/window-prompts/window-24-rest-sse-websocket-adapters.md","docs/archive/phases/window-prompts/窗口24-REST-SSE-WebSocket适配器.md"
"64","docs/archive/phases/window-prompts/window-25-frontend-contract-alignment.md","docs/archive/phases/window-prompts/窗口25-前端契约对齐.md"
"65","docs/archive/phases/window-prompts/window-26-integration-static-review.md","docs/archive/phases/window-prompts/窗口26-集成静态审查.md"
"66","docs/archive/phases/window-prompts/window-27-evaluation-learning-contract-reconciliation.md","docs/archive/phases/window-prompts/窗口27-评测报告学习契约收口.md"
"67","docs/archive/phases/window-prompts/window-28-interview-snapshot-voice-commit.md","docs/archive/phases/window-prompts/窗口28-面试快照与语音答案原子收口.md"
"68","docs/archive/phases/window-prompts/window-29-boot-session-security-wiring.md","docs/archive/phases/window-prompts/窗口29-启动会话安全与组件装配.md"
"69","docs/archive/phases/window-prompts/window-30-persistence-contract-reconciliation.md","docs/archive/phases/window-prompts/窗口30-持久化契约回填.md"
"70","docs/archive/phases/window-prompts/window-31-core-application-boundary-reconciliation.md","docs/archive/phases/window-prompts/窗口31-核心应用边界与幂等收口.md"
"71","docs/archive/phases/window-prompts/window-32-durable-sse-replay.md","docs/archive/phases/window-prompts/窗口32-持久化SSE流与重放.md"
"72","docs/archive/phases/window-prompts/window-33-wave4-coordinator.md","docs/archive/phases/window-prompts/窗口33-第4波协调与目录租约.md"
"73","docs/archive/phases/window-prompts/window-34-inbound-common-security-foundation.md","docs/archive/phases/window-prompts/窗口34-入站公共与安全基础.md"
"74","docs/archive/phases/window-prompts/window-35-rest-identity-catalog-practice.md","docs/archive/phases/window-prompts/窗口35-REST身份题库与练习.md"
"75","docs/archive/phases/window-prompts/window-36-rest-interview-voice.md","docs/archive/phases/window-prompts/窗口36-REST面试与语音.md"
"76","docs/archive/phases/window-prompts/window-37-rest-evaluation-learning.md","docs/archive/phases/window-prompts/窗口37-REST评测报告与学习.md"
"77","docs/archive/phases/window-prompts/window-38-rest-billing-governance-operations.md","docs/archive/phases/window-prompts/窗口38-REST计费治理与运营.md"
"78","docs/archive/phases/window-prompts/window-39-sse-durable-replay.md","docs/archive/phases/window-prompts/窗口39-SSE持久重放.md"
"79","docs/archive/phases/window-prompts/window-40-websocket-voice.md","docs/archive/phases/window-prompts/窗口40-WebSocket语音协议.md"
"80","docs/archive/phases/window-prompts/window-41-frontend-shared-foundation.md","docs/archive/phases/window-prompts/窗口41-前端共享基础.md"
"81","docs/archive/phases/window-prompts/window-42-frontend-identity-catalog-practice.md","docs/archive/phases/window-prompts/窗口42-前端身份题库练习与状态.md"
"82","docs/archive/phases/window-prompts/window-43-frontend-interview-voice.md","docs/archive/phases/window-prompts/窗口43-前端面试与语音.md"
"83","docs/archive/phases/window-prompts/window-44-frontend-evaluation-learning-governance.md","docs/archive/phases/window-prompts/窗口44-前端评测学习计费隐私与管理.md"
"84","docs/archive/phases/window-prompts/window-45-inbound-reconciliation.md","docs/archive/phases/window-prompts/窗口45-入站集成收口.md"
"85","docs/archive/phases/window-prompts/window-46-frontend-reconciliation.md","docs/archive/phases/window-prompts/窗口46-前端集成收口.md"
"86","docs/archive/phases/window-prompts/window-47-boot-security-wiring.md","docs/archive/phases/window-prompts/窗口47-启动会话安全与组件装配.md"
"87","docs/archive/phases/window-prompts/window-48-integration-static-review.md","docs/archive/phases/window-prompts/窗口48-第4波集成静态审查.md"
"88","docs/archive/phases/window-prompts/window-49-voice-runtime-completion.md","docs/archive/phases/window-prompts/窗口49-若依语音运行链路收口.md"
"89","docs/archive/phases/window-prompts/window-50-voice-runtime-remaining-closure.md","docs/archive/phases/window-prompts/窗口50-若依语音运行链路剩余收口.md"
"90","docs/archive/product/prd-v0.2.md","docs/archive/product/产品需求文档-v0.2.md"
"91","docs/archive/projects/03-ai-fashion-styling-quotation/database-design-v1.md","docs/archive/projects/03-ai-fashion-styling-quotation/数据库设计-v1.md"
"92","docs/archive/prototypes/FEAT-INTERVIEW-001/prototype.md","docs/archive/prototypes/FEAT-INTERVIEW-001/探索性原型审计.md"
"93","docs/archive/prototypes/FEAT-INTERVIEW-001/review-readiness.md","docs/archive/prototypes/FEAT-INTERVIEW-001/原型评审就绪审查.md"
"94","docs/archive/prototypes/FEAT-INTERVIEW-001/state-matrix.md","docs/archive/prototypes/FEAT-INTERVIEW-001/原型状态矩阵.md"
"95","docs/archive/reference/authentication.md","docs/archive/reference/登录与注册实现参考.md"
"96","docs/archive/reference/configuration.md","docs/archive/reference/配置与安全默认值.md"
"97","docs/archive/reference/migration-status-and-todo.md","docs/archive/reference/最小可行产品迁移状态与待办.md"
"98","docs/archive/reference/module-boundaries.md","docs/archive/reference/模块边界与源码参考.md"
"99","docs/archive/review/canonical-product-recovery-draft.md","docs/archive/review/产品全量审计与权威规格恢复候选.md"
"100","docs/archive/setup/environment-setup.md","docs/archive/setup/开发环境准备.md"
"101","docs/archive/specs/SPEC-admin-web-ruoyivue3.md","docs/archive/specs/规格-后台管理端-若依Vue3.md"
"102","docs/archive/specs/SPEC-backend-bridges.md","docs/archive/specs/规格-后端统一网关层.md"
"103","docs/archive/specs/SPEC-mobile-uniapp.md","docs/archive/specs/规格-移动端-uni-app-Vue3.md"
"104","docs/archive/specs/SPEC-portal-web.md","docs/archive/specs/规格-用户前台-PC与H5.md"
"105","docs/decisions/decision-register.md","docs/decisions/决策登记表.md"
"106","docs/development-records/2026-08-02-foundation-wave-01.md","docs/development-records/2026-08-02-基础建设-批次01.md"
"107","docs/development-records/2026-08-03-core-application-boundary-reconciliation.md","docs/development-records/2026-08-03-核心应用边界收口.md"
"108","docs/development-records/2026-08-03-evaluation-learning-wave-03.md","docs/development-records/2026-08-03-评测与学习-批次03.md"
"109","docs/development-records/2026-08-03-persistence-and-durable-stream-wave-03.md","docs/development-records/2026-08-03-持久化与可靠事件流-批次03.md"
"110","docs/development-records/2026-08-03-product-doc-merge-and-wave3-control.md","docs/development-records/2026-08-03-产品文档合并与批次03控制.md"
"111","docs/development-records/2026-08-09-provider-adapters-wave.md","docs/development-records/2026-08-09-服务商适配器批次.md"
"112","docs/development-records/2026-08-16-ruoyi-convergence-wave-01.md","docs/development-records/2026-08-16-若依收敛-批次01.md"
"113","docs/development-records/2026-08-16-ruoyi-migration-wave-01.md","docs/development-records/2026-08-16-若依迁移-批次01.md"
"114","docs/development-records/2026-08-23-ruoyi-convergence-wave-02.md","docs/development-records/2026-08-23-若依收敛-批次02.md"
"115","docs/development-records/2026-08-23-ruoyi-voice-migration.md","docs/development-records/2026-08-23-若依语音面试迁移.md"
"116","docs/development-records/2026-08-23-ruoyi-voice-runtime-completion.md","docs/development-records/2026-08-23-若依语音运行链路收口.md"
"117","docs/development-records/2026-08-29-ruoyi-v2-implementation.md","docs/development-records/2026-08-29-若依V2实现.md"
"118","docs/development-records/2026-08-30-apps-root-convergence.md","docs/development-records/2026-08-30-应用工程根目录收敛.md"
"119","docs/development-records/2026-08-30-legacy-project-convergence.md","docs/development-records/2026-08-30-旧项目收敛.md"
"120","docs/development-records/2026-09-10-document-structure-convergence.md","docs/development-records/2026-09-10-文档结构收敛.md"
"121","docs/features/FEAT-INTERVIEW-001-ai-interview-coach/tasks.md","docs/features/FEAT-INTERVIEW-001-ai-interview-coach/任务清单.md"
"122","docs/features/FEAT-INTERVIEW-002-commercial-pilot/acceptance.md","docs/features/FEAT-INTERVIEW-002-commercial-pilot/验收记录.md"
"123","docs/features/FEAT-INTERVIEW-002-commercial-pilot/design.md","docs/features/FEAT-INTERVIEW-002-commercial-pilot/技术设计.md"
"124","docs/features/FEAT-INTERVIEW-002-commercial-pilot/evidence/verification-report.html","docs/features/FEAT-INTERVIEW-002-commercial-pilot/evidence/验证报告.html"
"125","docs/features/FEAT-INTERVIEW-002-commercial-pilot/feature-spec.md","docs/features/FEAT-INTERVIEW-002-commercial-pilot/功能规格.md"
"126","docs/features/FEAT-INTERVIEW-002-commercial-pilot/prototype.md","docs/features/FEAT-INTERVIEW-002-commercial-pilot/交互原型.md"
"127","docs/features/FEAT-INTERVIEW-002-commercial-pilot/tasks.md","docs/features/FEAT-INTERVIEW-002-commercial-pilot/任务清单.md"
"128","docs/features/FEAT-INTERVIEW-002-commercial-pilot/verification.md","docs/features/FEAT-INTERVIEW-002-commercial-pilot/验证记录.md"
"129","docs/features/FEAT-QBANK-001-public-catalog/acceptance.md","docs/features/FEAT-QBANK-001-public-catalog/验收记录.md"
"130","docs/features/FEAT-QBANK-001-public-catalog/design.md","docs/features/FEAT-QBANK-001-public-catalog/技术设计.md"
"131","docs/features/FEAT-QBANK-001-public-catalog/evidence/verification-report.html","docs/features/FEAT-QBANK-001-public-catalog/evidence/验证报告.html"
"132","docs/features/FEAT-QBANK-001-public-catalog/feature-spec.md","docs/features/FEAT-QBANK-001-public-catalog/功能规格.md"
"133","docs/features/FEAT-QBANK-001-public-catalog/tasks.md","docs/features/FEAT-QBANK-001-public-catalog/任务清单.md"
"134","docs/features/FEAT-QBANK-001-public-catalog/verification.md","docs/features/FEAT-QBANK-001-public-catalog/验证记录.md"
"135","docs/features/FEAT-RUOYI-PORTAL-LOGIN-001/acceptance.md","docs/features/FEAT-RUOYI-PORTAL-LOGIN-001/验收记录.md"
"136","docs/features/FEAT-RUOYI-PORTAL-LOGIN-001/tasks.md","docs/features/FEAT-RUOYI-PORTAL-LOGIN-001/任务清单.md"
"137","docs/features/FEAT-RUOYI-PORTAL-LOGIN-001/verification-report.html","docs/features/FEAT-RUOYI-PORTAL-LOGIN-001/验证报告.html"
"138","docs/features/FEAT-RUOYI-PORTAL-LOGIN-001/verification.md","docs/features/FEAT-RUOYI-PORTAL-LOGIN-001/验证记录.md"
"139","docs/licenses/ruoyi-vue3.md","docs/licenses/若依Vue3上游评审报告.md"
"140","docs/product/语音面试页/voice_interview_three_column_v2.html","docs/product/语音面试页/语音面试三栏原型-v2.html"
"141","docs/product/语音面试页/voice-interview-interaction-spec.md","docs/product/语音面试页/语音面试交互规格.md"
"142","docs/product/design-refresh-spec.md","docs/product/界面改版与视觉验收规格.md"
"143","docs/product/interview-flow-spec.md","docs/product/模拟面试流程规格.md"
"144","docs/product/prd.md","docs/product/产品需求文档.md"
"145","docs/product/projects/01-production-scheduling/prd.md","docs/product/projects/01-production-scheduling/产品需求文档.md"
"146","docs/product/projects/02-agent-desktop-execution/prd.md","docs/product/projects/02-agent-desktop-execution/产品需求文档.md"
"147","docs/product/projects/02-agent-desktop-execution/prototype.md","docs/product/projects/02-agent-desktop-execution/采购询价原型.md"
"148","docs/product/projects/02-agent-desktop-execution/verification.md","docs/product/projects/02-agent-desktop-execution/验证记录.md"
"149","docs/product/projects/03-ai-fashion-styling-quotation/database-design.md","docs/product/projects/03-ai-fashion-styling-quotation/数据库设计.md"
"150","docs/product/projects/03-ai-fashion-styling-quotation/implementation.md","docs/product/projects/03-ai-fashion-styling-quotation/设计与实施任务.md"
"151","docs/product/projects/03-ai-fashion-styling-quotation/prd.md","docs/product/projects/03-ai-fashion-styling-quotation/产品需求文档.md"
"152","docs/product/projects/03-ai-fashion-styling-quotation/verification.md","docs/product/projects/03-ai-fashion-styling-quotation/验证记录.md"
"153","docs/product/qbank-spec.md","docs/product/题库内容与质量规格.md"
"154","docs/product/research.md","docs/product/面试教练与题库调研.md"
"155","docs/research/2026-09-07-commercial-interview-agents-discussion.md","docs/research/2026-09-07-商业语音面试双智能体方案讨论.md"
"156","docs/research/2026-09-08-commercial-interview-flow-review.md","docs/research/2026-09-08-商业语音面试全流程审阅.md"
"157","docs/research/projects/01-production-scheduling/market-competitor-research.md","docs/research/projects/01-production-scheduling/市场与竞品调研.md"
"158","docs/research/projects/01-production-scheduling/workflow-resource-research.md","docs/research/projects/01-production-scheduling/工序与资源调研.md"
"159","docs/research/projects/02-agent-desktop-execution/industry-opportunity-research-2026-09-11.md","docs/research/projects/02-agent-desktop-execution/2026-09-11-行业机会调研.md"
"160","docs/research/projects/02-agent-desktop-execution/market-competitor-research.md","docs/research/projects/02-agent-desktop-execution/市场与竞品调研.md"
"161","docs/research/projects/02-agent-desktop-execution/sourcing-research.md","docs/research/projects/02-agent-desktop-execution/采购专题调研.md"
"162","docs/research/projects/03-ai-fashion-styling-quotation/market-competitor-research.md","docs/research/projects/03-ai-fashion-styling-quotation/市场与竞品调研.md"
"163","docs/research/projects/03-ai-fashion-styling-quotation/research-2026-09-11.md","docs/research/projects/03-ai-fashion-styling-quotation/2026-09-11-专项市场调研.md"
"164","docs/specs/documentation.md","docs/specs/文档组织规范.md"
