"旧路径","新路径","类型","迁移前SHA-256"
"文档/产品/项目/02-Agent桌面执行/验证记录.md","文档/项目/02-Aden桌面智能执行平台/产品/验证记录.md","document","93f6f2537b4c894a1c45e9a0abe2ec54c10e1fa1ef6831cb779ddf0bd031f680"
"文档/产品/项目/03-AI服装搭配报价/README.md","文档/项目/03-服装智能选品与报价/README.md","document","9d86cdb5f4802a144d015cf1949389dbdaa8ebf988f08ddb4d2f96625d71a805"
"文档/产品/项目/03-AI服装搭配报价/产品需求文档.md","文档/项目/03-服装智能选品与报价/产品/产品需求文档.md","document","e64d162e61d35221493e18e99f6fa822a17cd504ee53c9ecd3b78d9872777ba0"
"文档/产品/项目/03-AI服装搭配报价/数据库设计.md","文档/项目/03-服装智能选品与报价/产品/数据库设计.md","document","831bde43cb2846bc374a915d0e3479abbae62708a6ae5b87b0bc81513a70e77f"
"文档/产品/项目/03-AI服装搭配报价/设计与实施任务.md","文档/项目/03-服装智能选品与报价/产品/设计与实施任务.md","document","1186ec62eb318c38b5d0db69e00513d37f7be385380883d85df38196d194f763"
"文档/产品/项目/03-AI服装搭配报价/验证记录.md","文档/项目/03-服装智能选品与报价/产品/验证记录.md","document","f24a745c6c073ba498ed25423f5e80206db88a322462d51399801916ee15cf10"
"文档/产品/题库内容与质量规格.md","文档/项目/AI面试教练/产品/题库内容与质量规格.md","document","e48c31957482265bec2172bce443a27aacfc9016640355beff95b177fa1239df"
"文档/决策/PROJ-FASHION-003-工程与AI边界决策.md","文档/项目/03-服装智能选品与报价/决策/PROJ-FASHION-003-工程与AI边界决策.md","document","d48f1fd8d46096ddef718fa264d88c4d6ab0f3e3b3a75b7637a2da1d17677d97"
"文档/决策/决策登记表.md","文档/项目/AI面试教练/决策/决策登记表.md","document","0db1fbfb28b78c50a228462d3ec8f9fc8f826ed5faef460b36afa57db9737cb8"
"文档/功能/FEAT-ADEN-001-桌面执行底座/README.md","文档/项目/02-Aden桌面智能执行平台/功能/FEAT-ADEN-001-桌面执行底座/README.md","document","20e103dc3f1f1e4fa586759db6a2b0700686cffa2060fd30dd63a2886472d852"
"文档/功能/FEAT-ADEN-001-桌面执行底座/功能规格.md","文档/项目/02-Aden桌面智能执行平台/功能/FEAT-ADEN-001-桌面执行底座/功能规格.md","document","5a904773d7beff140fe4413afc7265855c0f31f7d7fd53a7d69f742ef0ec6b1f"
"文档/功能/FEAT-ADEN-001-桌面执行底座/技术设计.md","文档/项目/02-Aden桌面智能执行平台/功能/FEAT-ADEN-001-桌面执行底座/技术设计.md","document","b63b7d4384b844aedae3d6e6224dbbc68bbf7bb89106cbe48470a17423176b84"
"文档/功能/FEAT-FASHION-001-服装智能选品生产首版/README.md","文档/项目/03-服装智能选品与报价/功能/FEAT-FASHION-001-服装智能选品生产首版/README.md","document","c9f1c85fbbbee5c647e5785f5e02f9fa519d6f29dbaa77ab5189c23464db11d3"
"文档/功能/FEAT-FASHION-001-服装智能选品生产首版/任务清单.md","文档/项目/03-服装智能选品与报价/功能/FEAT-FASHION-001-服装智能选品生产首版/任务清单.md","document","eb6bf7a2b585bc3f34a7a1ce0f62c600a849fb1c62af35fd0e76a434f54bb2be"
"文档/功能/FEAT-FASHION-001-服装智能选品生产首版/功能规格.md","文档/项目/03-服装智能选品与报价/功能/FEAT-FASHION-001-服装智能选品生产首版/功能规格.md","document","1184ed391073158b408701d3021a01bf382cfd9682afef9d44269d64188a9d5e"
"文档/功能/FEAT-FASHION-001-服装智能选品生产首版/技术设计.md","文档/项目/03-服装智能选品与报价/功能/FEAT-FASHION-001-服装智能选品生产首版/技术设计.md","document","2090bf7d8b0686bb95a39d37d937a93d468091d9982b5d6993f52362eb5876b3"
"文档/功能/FEAT-FASHION-001-服装智能选品生产首版/验收记录.md","文档/项目/03-服装智能选品与报价/功能/FEAT-FASHION-001-服装智能选品生产首版/验收记录.md","document","e94715da0bed652db3e4f30aa48f00ba1771e2a59e75f0861b92dfa1fb2e2e0a"
"文档/功能/FEAT-FASHION-001-服装智能选品生产首版/验证记录.md","文档/项目/03-服装智能选品与报价/功能/FEAT-FASHION-001-服装智能选品生产首版/验证记录.md","document","9cc73a769c8358d98b7b4ee2ecdcb388b9a0a8ea520e5b3bfd79f777679e4dba"
"文档/功能/FEAT-INTERVIEW-001-AI面试教练/README.md","文档/项目/AI面试教练/功能/FEAT-INTERVIEW-001-AI面试教练/README.md","document","0dfaf24350029a3e6b82d7083abac47e339db675f45409a3ccd45054ab28e49c"
"文档/功能/FEAT-INTERVIEW-001-AI面试教练/任务清单.md","文档/项目/AI面试教练/功能/FEAT-INTERVIEW-001-AI面试教练/任务清单.md","document","26a6e331a5297247eb4e9a3b9a312e65d5675e087efbed22eec9ae41d19412ac"
"文档/功能/FEAT-INTERVIEW-002-商业邀测/README.md","文档/项目/AI面试教练/功能/FEAT-INTERVIEW-002-商业邀测/README.md","document","72605f7fa09e306054c73fc4eb3f4e82d755f90b213cf598559dae14e5253fd7"
"文档/功能/FEAT-INTERVIEW-002-商业邀测/交互原型.md","文档/项目/AI面试教练/功能/FEAT-INTERVIEW-002-商业邀测/交互原型.md","document","35527c0215792df03642ccbe129221430f794d92a224b4723d0517ac077528bd"
"文档/功能/FEAT-INTERVIEW-002-商业邀测/任务清单.md","文档/项目/AI面试教练/功能/FEAT-INTERVIEW-002-商业邀测/任务清单.md","document","03f7b815f0ea485b82c46167905a1c8bf825de2bdc815678cea9810a2182295c"
"文档/功能/FEAT-INTERVIEW-002-商业邀测/功能规格.md","文档/项目/AI面试教练/功能/FEAT-INTERVIEW-002-商业邀测/功能规格.md","document","5edb8fdaa76a03e0f8e6f2659987a1d0c6c2f8aaf8ea237e84801d58d985ebdc"
"文档/功能/FEAT-INTERVIEW-002-商业邀测/契约/asyncapi.json","文档/项目/AI面试教练/功能/FEAT-INTERVIEW-002-商业邀测/契约/asyncapi.json","document","b08bd5d13e7307f95de3c99fb2ef6062f2004f5c422c03f4f8f4e8559f3ae33d"
"文档/功能/FEAT-INTERVIEW-002-商业邀测/契约/openapi.json","文档/项目/AI面试教练/功能/FEAT-INTERVIEW-002-商业邀测/契约/openapi.json","document","ea32912909dac7d4d0cf6c296c19ae51237113ad71062c7b94a07955588b0731"
"文档/功能/FEAT-INTERVIEW-002-商业邀测/契约/schemas.json","文档/项目/AI面试教练/功能/FEAT-INTERVIEW-002-商业邀测/契约/schemas.json","document","f0d131172144ab7409e5e15720661e0040dbf0717fad0612ad45258e10d4084e"
"文档/功能/FEAT-INTERVIEW-002-商业邀测/技术设计.md","文档/项目/AI面试教练/功能/FEAT-INTERVIEW-002-商业邀测/技术设计.md","document","c6a72785cbb8aa0aad50e32b3733c57a0aba6901b70f582fa2cedf3f79dcb9ee"
"文档/功能/FEAT-INTERVIEW-002-商业邀测/证据/asr-provider-probe.json","文档/项目/AI面试教练/功能/FEAT-INTERVIEW-002-商业邀测/证据/asr-provider-probe.json","document","e31b6ba7ba6f2c42ff21cd94d479783f493eeae22275608d8faaa40b92ae08da"
"文档/功能/FEAT-INTERVIEW-002-商业邀测/证据/contract-checks-final.json","文档/项目/AI面试教练/功能/FEAT-INTERVIEW-002-商业邀测/证据/contract-checks-final.json","document","d2707711b9dd5272b700869c40adcbee7128a2b76d4e6efa6da13ef7759572d9"
"文档/功能/FEAT-INTERVIEW-002-商业邀测/证据/contract-checks.json","文档/项目/AI面试教练/功能/FEAT-INTERVIEW-002-商业邀测/证据/contract-checks.json","document","0595328e3c84b0790d8cd84170768df10d9ba5f5d1adc36fb4016c8803f37f61"
"文档/功能/FEAT-INTERVIEW-002-商业邀测/证据/document-checks.json","文档/项目/AI面试教练/功能/FEAT-INTERVIEW-002-商业邀测/证据/document-checks.json","document","69630484e18b77761becc052792ba708e724f9f9200a77d0b4cd20a8e6e735ac"
"文档/功能/FEAT-INTERVIEW-002-商业邀测/证据/tts-provider-probe.json","文档/项目/AI面试教练/功能/FEAT-INTERVIEW-002-商业邀测/证据/tts-provider-probe.json","document","f99cde51add7166ee01098eaafc5fe0d7cc3f28404f003e5f284efee886dd6fe"
"文档/功能/FEAT-INTERVIEW-002-商业邀测/证据/验证报告.html","文档/项目/AI面试教练/功能/FEAT-INTERVIEW-002-商业邀测/证据/验证报告.html","document","1e0a252966ee437d13f47bfd110ea00fdf18701a00c2eae30dce36199cf7a649"
"文档/功能/FEAT-INTERVIEW-002-商业邀测/验收记录.md","文档/项目/AI面试教练/功能/FEAT-INTERVIEW-002-商业邀测/验收记录.md","document","77f2d26340e1e2902b4b894a215e11668393baca9750a0b79da5ba8182db4b03"
"文档/功能/FEAT-INTERVIEW-002-商业邀测/验证记录.md","文档/项目/AI面试教练/功能/FEAT-INTERVIEW-002-商业邀测/验证记录.md","document","9dbe125b74ef6372c33ee38eb8f69fe66cb6d3770b6c0dd1a8acf40533dba07c"
"文档/功能/FEAT-QBANK-001-公共题库/README.md","文档/项目/AI面试教练/功能/FEAT-QBANK-001-公共题库/README.md","document","f20cd9cfb7e2fe04211d9b4a876bd8b0b4db536f06167803c93da20ecfab70f8"
"文档/功能/FEAT-QBANK-001-公共题库/任务清单.md","文档/项目/AI面试教练/功能/FEAT-QBANK-001-公共题库/任务清单.md","document","8c6a9c2f04a61f943a534df7aa038016dffebc4a381e6a7b76388e7186f2b720"
"文档/功能/FEAT-QBANK-001-公共题库/功能规格.md","文档/项目/AI面试教练/功能/FEAT-QBANK-001-公共题库/功能规格.md","document","267a8efcff91fc21e7887519580afa017cb1f7be4229bac5f0a903f4003a5069"
"文档/功能/FEAT-QBANK-001-公共题库/技术设计.md","文档/项目/AI面试教练/功能/FEAT-QBANK-001-公共题库/技术设计.md","document","45c34e3ae8bc1c71a968c5f337b1fbb0fa1eae14608ede808bf749038de59103"
"文档/功能/FEAT-QBANK-001-公共题库/证据/验证报告.html","文档/项目/AI面试教练/功能/FEAT-QBANK-001-公共题库/证据/验证报告.html","document","d6a570db583b040a8ba6fd388737d2dc46e957dc99e6c882e052f77bac534479"
"文档/功能/FEAT-QBANK-001-公共题库/验收记录.md","文档/项目/AI面试教练/功能/FEAT-QBANK-001-公共题库/验收记录.md","document","7ff873fe8b631b051a8d028ad7edb18e0ef951e60c5f03b62eeaae045f443e8b"
"文档/功能/FEAT-QBANK-001-公共题库/验证记录.md","文档/项目/AI面试教练/功能/FEAT-QBANK-001-公共题库/验证记录.md","document","defd11dad6f886f83a9ddd81c11fc4bb27c18af7406471d8d8cac1ec541babc3"
"文档/功能/FEAT-RUOYI-PORTAL-LOGIN-001-门户登录/README.md","文档/项目/AI面试教练/功能/FEAT-RUOYI-PORTAL-LOGIN-001-门户登录/README.md","document","bb7895f6a43fedb50acad6dd130aa8e4a09c348e9764c1b309fd50dd4d448dd7"
"文档/功能/FEAT-RUOYI-PORTAL-LOGIN-001-门户登录/任务清单.md","文档/项目/AI面试教练/功能/FEAT-RUOYI-PORTAL-LOGIN-001-门户登录/任务清单.md","document","dda143c825068adff7c421d8c508f64e73a676bd00ec7a68321d0d944312f6f6"
"文档/功能/FEAT-RUOYI-PORTAL-LOGIN-001-门户登录/验收记录.md","文档/项目/AI面试教练/功能/FEAT-RUOYI-PORTAL-LOGIN-001-门户登录/验收记录.md","document","2cda0758014f05da7be475dd0c4fb5ed87d03628acfc4fa6626b7870bd07a966"
"文档/功能/FEAT-RUOYI-PORTAL-LOGIN-001-门户登录/验证报告.html","文档/项目/AI面试教练/功能/FEAT-RUOYI-PORTAL-LOGIN-001-门户登录/验证报告.html","document","48215747f601a4df4c409e5835fdd4170e7aecefffd0191974c701f2bcc94369"
"文档/功能/FEAT-RUOYI-PORTAL-LOGIN-001-门户登录/验证记录.md","文档/项目/AI面试教练/功能/FEAT-RUOYI-PORTAL-LOGIN-001-门户登录/验证记录.md","document","f3a6cd6858d59225f2ba2d12fc26ce5acd927a86a21e3c31635d48c66b222af9"
"文档/功能/README.md","文档/项目/AI面试教练/功能/README.md","document","f01af2ca28257d31dde3667671e9ba7c74475112e70bc48ba6235bdbc1d1ccf5"
"文档/参考/README.md","文档/项目/AI面试教练/参考/README.md","document","4801c605c1146bc11d7561a8bf3e31bdcbb25ccca3f8ff03d568c854664656de"
"文档/开发记录/2026-08-02-基础建设-批次01.md","文档/项目/AI面试教练/开发记录/2026-08-02-基础建设-批次01.md","document","3809552e5c6147b8090e5aa4a08c3d9b142f3b65bad3f9841ed7f9b98b1a2bb2"
"文档/开发记录/2026-08-03-产品文档合并与批次03控制.md","文档/项目/AI面试教练/开发记录/2026-08-03-产品文档合并与批次03控制.md","document","db1147047271256cceceb1efcd40b139d3524e8fefdecb023724c34b97aa9878"
"文档/开发记录/2026-08-03-持久化与可靠事件流-批次03.md","文档/项目/AI面试教练/开发记录/2026-08-03-持久化与可靠事件流-批次03.md","document","704b67caa00123466eaf643752328efafab99ab043556d487e9ff2ac833cbea4"
"文档/开发记录/2026-08-03-核心应用边界收口.md","文档/项目/AI面试教练/开发记录/2026-08-03-核心应用边界收口.md","document","d66f2ac7ca5796b1056daf7489be8f35d14174b26986974000525778890965d6"
"文档/开发记录/2026-08-03-评测与学习-批次03.md","文档/项目/AI面试教练/开发记录/2026-08-03-评测与学习-批次03.md","document","c839edd7451fa3d52fb5f73e20d8e4e29a2b2aa4e0a5b8d2854536b9e58080a7"
"文档/开发记录/2026-08-09-服务商适配器批次.md","文档/项目/AI面试教练/开发记录/2026-08-09-服务商适配器批次.md","document","eabb8382c31ac2f9772083f60b04e8a69df4cafbb1af83f55f60b1105b45a25d"
"文档/开发记录/2026-08-16-若依收敛-批次01.md","文档/项目/AI面试教练/开发记录/2026-08-16-若依收敛-批次01.md","document","d1fbc98366f6fe6d5fc6828d9bcf9dfce5123bc13f9fb529929fc37e8d324a71"
"文档/开发记录/2026-08-16-若依迁移-批次01.md","文档/项目/AI面试教练/开发记录/2026-08-16-若依迁移-批次01.md","document","3ef0f93b3dc0d405cd214ce80444abd3dbb8614126f8652dca75eec4f91185eb"
"文档/开发记录/2026-08-23-若依收敛-批次02.md","文档/项目/AI面试教练/开发记录/2026-08-23-若依收敛-批次02.md","document","68df83dbcb73ae2ce181715a18d58366e6ad8adf92a9207a9ea75a089e33318b"
"文档/开发记录/2026-08-23-若依语音运行链路收口.md","文档/项目/AI面试教练/开发记录/2026-08-23-若依语音运行链路收口.md","document","b7f22ca71976eeb7ed1f0f4572940c3386656c73e49f1ff7eacb7b95e05dca3f"
"文档/开发记录/2026-08-23-若依语音面试迁移.md","文档/项目/AI面试教练/开发记录/2026-08-23-若依语音面试迁移.md","document","0ebe965cdfcbc0ee1ffeb10b645eaaabcd431f061da4e709ca32919668eadb3e"
"文档/开发记录/2026-08-29-若依V2实现.md","文档/项目/AI面试教练/开发记录/2026-08-29-若依V2实现.md","document","8178a53bc7651f4b8a6b034639e76ca42962a545df6e655ea2fe3d3545d10e14"
"文档/开发记录/2026-08-30-应用工程根目录收敛.md","文档/项目/AI面试教练/开发记录/2026-08-30-应用工程根目录收敛.md","document","cf755f0cf2cb75583dcac4e9408f59fdbc15ca8a39e2605023791c4208fbcc15"
"文档/开发记录/2026-08-30-旧项目收敛.md","文档/项目/AI面试教练/开发记录/2026-08-30-旧项目收敛.md","document","adc66b107d2f0d5e171bd4d8ea402d5189cc81023acb7b2476270c34708d48bd"
"文档/开发记录/2026-09-11-生产排程数据库46表收敛.md","文档/项目/01-生产排程与车间调度/开发记录/2026-09-11-生产排程数据库46表收敛.md","document","a64e671920ae195fa0da0e1f2a17fe91ae3b3ee3d1b67dc14c5e0ca5e59101e9"
"文档/归档/产品/产品需求文档-v0.2.md","文档/项目/AI面试教练/归档/产品/产品需求文档-v0.2.md","document","0acbbf0280579dba00620e3510c3a1983d94051ae8aeb076c498e2010f7b7c83"
"文档/归档/功能/FEAT-RUOYI-LOGIN-001-首页登录/README.md","文档/项目/AI面试教练/归档/功能/FEAT-RUOYI-LOGIN-001-首页登录/README.md","document","dfd942444cf1e9afd012d9efb71fb5a267e5f37dd6b3bffb1d5d81530d42e950"
"文档/归档/功能/FEAT-RUOYI-LOGIN-001-首页登录/任务清单.md","文档/项目/AI面试教练/归档/功能/FEAT-RUOYI-LOGIN-001-首页登录/任务清单.md","document","067c68cca923e7dd6a6f3a246a12d7202cca211f1822e25b84cb0e332525e643"
"文档/归档/功能/FEAT-RUOYI-LOGIN-001-首页登录/功能规格.md","文档/项目/AI面试教练/归档/功能/FEAT-RUOYI-LOGIN-001-首页登录/功能规格.md","document","7db86b94fdb4ac1d83f46207ba02aa84036362aeced5bad3ed3308b5f4f02092"
"文档/归档/功能/FEAT-RUOYI-LOGIN-001-首页登录/技术设计.md","文档/项目/AI面试教练/归档/功能/FEAT-RUOYI-LOGIN-001-首页登录/技术设计.md","document","dfc0e3f8b6b4f3080bb1e785aa5f35b48dd59e43f4c2ba207cb50ab649f12c44"
"文档/归档/功能/FEAT-RUOYI-LOGIN-001-首页登录/验收记录.md","文档/项目/AI面试教练/归档/功能/FEAT-RUOYI-LOGIN-001-首页登录/验收记录.md","document","fdb45d8d7cd38097a5832cc97845f293d3962529439f9648984ee3fe0855b735"
"文档/归档/功能/FEAT-RUOYI-LOGIN-001-首页登录/验证报告.html","文档/项目/AI面试教练/归档/功能/FEAT-RUOYI-LOGIN-001-首页登录/验证报告.html","document","ef0727706cfe79e39327180ebd44921ce90094f07599df4d5a8ea7f5a40e5b06"
"文档/归档/功能/FEAT-RUOYI-LOGIN-001-首页登录/验证记录.md","文档/项目/AI面试教练/归档/功能/FEAT-RUOYI-LOGIN-001-首页登录/验证记录.md","document","8ba4d7ebe71ce6357821e8c76a480d63732a6309623a1264ad9ac90c38f613cb"
"文档/归档/原型/FEAT-INTERVIEW-001-面试教练原型/原型状态矩阵.md","文档/项目/AI面试教练/归档/原型/FEAT-INTERVIEW-001-面试教练原型/原型状态矩阵.md","document","e44ddcdbb620c552f86dd64c927713c395e0c62c7f803ae5aa7ec511a2a86c6c"
"文档/归档/原型/FEAT-INTERVIEW-001-面试教练原型/原型评审就绪审查.md","文档/项目/AI面试教练/归档/原型/FEAT-INTERVIEW-001-面试教练原型/原型评审就绪审查.md","document","2afc41735050dae18a4bdc6f2e196acf5d8deca79a8ffc0607711a4d0d3b30b1"
"文档/归档/原型/FEAT-INTERVIEW-001-面试教练原型/探索性原型审计.md","文档/项目/AI面试教练/归档/原型/FEAT-INTERVIEW-001-面试教练原型/探索性原型审计.md","document","c09ff92e52786090cafc710c67880ca4a75d1dbbc84b3e23389bfcb729a9bbc5"
"文档/归档/参考/最小可行产品迁移状态与待办.md","文档/项目/AI面试教练/归档/参考/最小可行产品迁移状态与待办.md","document","5fb666bd30f08a7d578e3079fe71c5bb6dcc22947bbbbc20bad3e2a4c71ad01d"
"文档/归档/参考/模块边界与源码参考.md","文档/项目/AI面试教练/归档/参考/模块边界与源码参考.md","document","a88b37158dce125061e0dd3ef663fa90c4712fd305295e087bf40c9a971da3ef"
"文档/归档/参考/登录与注册实现参考.md","文档/项目/AI面试教练/归档/参考/登录与注册实现参考.md","document","11af141a16d7be4ed0fdcb1d24933018878de7bcb03a5e2f87dd17e492902f74"
"文档/归档/参考/配置与安全默认值.md","文档/项目/AI面试教练/归档/参考/配置与安全默认值.md","document","722055323bc137759692ca0f5189ad835715051b50429c41099479645fd2b7bb"
"文档/归档/架构/代码落地就绪审查.md","文档/项目/AI面试教练/归档/架构/代码落地就绪审查.md","document","74a50b04eb451864fb8b105bf6504ff5767c37a70c72e5dc1a9269a74e7a04ee"
"文档/归档/架构/实施技术契约候选包.md","文档/项目/AI面试教练/归档/架构/实施技术契约候选包.md","document","df26e84465d1412b5e2ed5261e84c9901c000f4e85f0a4046d0a076dacfc40a1"
"文档/归档/架构/技术架构.md","文档/项目/AI面试教练/归档/架构/技术架构.md","document","3f6b59999a73a8143a55939d3502ad4159d60e9dd103bc62f5b230cf7aa59a36"
"文档/归档/架构/若依完整代码落地与迁移基线.md","文档/项目/AI面试教练/归档/架构/若依完整代码落地与迁移基线.md","document","13f52b485886017c9906726740b03869c7390f28afae4d7ae2c54c848053a5f8"
"文档/归档/架构/若依迁移计划.md","文档/项目/AI面试教练/归档/架构/若依迁移计划.md","document","2b9260e765d6fceab8afa388c3f3d48eed6f0a8354d7729f6daf4a8eadeb6fcf"
"文档/归档/环境配置/开发环境准备.md","文档/项目/AI面试教练/归档/环境配置/开发环境准备.md","document","61a081f8db2b3635b60e425cb711daa25748c72d7ff35b3fd14ecb464da35ee3"
"文档/归档/规范/规格-后台管理端-若依Vue3.md","文档/项目/AI面试教练/归档/规范/规格-后台管理端-若依Vue3.md","document","03f4b9e533387bab6e2ae733cf5313839a159c5628cde4e728f39f654ca198f1"
"文档/归档/规范/规格-后端统一网关层.md","文档/项目/AI面试教练/归档/规范/规格-后端统一网关层.md","document","192cb5d5ea2cfa079ba2d613e79b780fb8240e63f429d56c11ecfa84175f6686"
"文档/归档/规范/规格-用户前台-PC与H5.md","文档/项目/AI面试教练/归档/规范/规格-用户前台-PC与H5.md","document","1af9c3ec2cbe5c0a1b165e39146cbdd7e685c4ca5d35a47fc9542fbca5e22ab7"
"文档/归档/规范/规格-移动端-uni-app-Vue3.md","文档/项目/AI面试教练/归档/规范/规格-移动端-uni-app-Vue3.md","document","9c5145e996a41bc292d900139978934788e33b5224e59020d667805881328030"
"文档/归档/评审/产品全量审计与权威规格恢复候选.md","文档/项目/AI面试教练/归档/评审/产品全量审计与权威规格恢复候选.md","document","1842497631f54c621346767184b7e5e4f481542da669fb4d0e59c6fc01ae303b"
"文档/归档/阶段/README.md","文档/项目/AI面试教练/归档/阶段/README.md","document","21d13505a30dc5259260aeb2574a9b1b58f4cc1aba66ee2b83bc504c3674083e"
"文档/归档/阶段/代码落地完整性与开发就绪审查.md","文档/项目/AI面试教练/归档/阶段/代码落地完整性与开发就绪审查.md","document","5fac455b24ac70e8ddc354738dfe0d8ab45179883668567b0242973682f5d863"
"文档/归档/阶段/依赖覆盖与负责人矩阵.md","文档/项目/AI面试教练/归档/阶段/依赖覆盖与负责人矩阵.md","document","d84945e65c5bf1f0ee7749368a6fb365cd04059428db03d91884596a0ec3db4d"
"文档/归档/阶段/十八期路线审查清单.md","文档/项目/AI面试教练/归档/阶段/十八期路线审查清单.md","document","dc74037b4600c6b24c6ec0c8e9031dc7e70be26011fda1f57e80b105bc140f7f"
"文档/归档/阶段/多窗口并行开发计划.md","文档/项目/AI面试教练/归档/阶段/多窗口并行开发计划.md","document","87bcaa11899794b560229b75fd7ca0fb2a2c7d907678e5a3cd58ddbbe174177e"
"文档/归档/阶段/完整编码目标控制.md","文档/项目/AI面试教练/归档/阶段/完整编码目标控制.md","document","103096efefb7802dd2f3774f4b94849c2b0f57a74060cc5039c6d62484fbbdd5"
"文档/归档/阶段/就绪定义验证与验收计划.md","文档/项目/AI面试教练/归档/阶段/就绪定义验证与验收计划.md","document","f352e1efd2396085b20f07454a5266eb4ed937f95c5b16170fc9997dca917624"
"文档/归档/阶段/技术架构审查与边界深化.md","文档/项目/AI面试教练/归档/阶段/技术架构审查与边界深化.md","document","ad51744c961185e27c15c9cea2d825992251ac907871457813c1295e2c6ea72e"
"文档/归档/阶段/窗口提示词/README.md","文档/项目/AI面试教练/归档/阶段/窗口提示词/README.md","document","39025a01db052037b04dc4c5258b404fc29ff3056fb477025dfd4e7cb5d6a7a1"
"文档/归档/阶段/窗口提示词/窗口00-协调与冲突控制.md","文档/项目/AI面试教练/归档/阶段/窗口提示词/窗口00-协调与冲突控制.md","document","0e4a908d55b07602e83a49766cbb47a73b34fe67d2e026b9f484e79ade27e064"
"文档/归档/阶段/窗口提示词/窗口01-门禁决策提案.md","文档/项目/AI面试教练/归档/阶段/窗口提示词/窗口01-门禁决策提案.md","document","e985f1fb065877e6f56d79eec21410c470d9c086872eeec9920018bbab56d851"
"文档/归档/阶段/窗口提示词/窗口02-探索性原型.md","文档/项目/AI面试教练/归档/阶段/窗口提示词/窗口02-探索性原型.md","document","ba0596af3e5441671edac941d5965e96a4390784123055d63fe26ef67f3c28d7"
"文档/归档/阶段/窗口提示词/窗口03-数据接口状态与时序契约.md","文档/项目/AI面试教练/归档/阶段/窗口提示词/窗口03-数据接口状态与时序契约.md","document","18039e7f79df83b315ad6acb5b4372f4f82c88c9b1f2adee5e52d83bb0156bc6"
"文档/归档/阶段/窗口提示词/窗口04-就绪定义验证与验收设计.md","文档/项目/AI面试教练/归档/阶段/窗口提示词/窗口04-就绪定义验证与验收设计.md","document","5556492c7acf8f67c97b11adcc30345c96b015938794b59880ef29513decffc7"
"文档/归档/阶段/窗口提示词/窗口05-功能控制页任务与执行包.md","文档/项目/AI面试教练/归档/阶段/窗口提示词/窗口05-功能控制页任务与执行包.md","document","4f9089a3227323dc25d8c75b96fbdc7cd5abc9581398e054bc7527ed177dccd2"
"文档/归档/阶段/窗口提示词/窗口10-共享脚手架与版本协调.md","文档/项目/AI面试教练/归档/阶段/窗口提示词/窗口10-共享脚手架与版本协调.md","document","9b3f65e849c807dd6168065865766decf66776fc5152300d40c61e9eaafb851e"
"文档/归档/阶段/窗口提示词/窗口11-领域与应用层.md","文档/项目/AI面试教练/归档/阶段/窗口提示词/窗口11-领域与应用层.md","document","07c195b95008274da82a721f6699d73a8cade7916e47f641e564bbe988c0b4d2"
"文档/归档/阶段/窗口提示词/窗口12-适配器与启动层.md","文档/项目/AI面试教练/归档/阶段/窗口提示词/窗口12-适配器与启动层.md","document","b5be215d68ba036b7c6f8cc2fea408fb7439a565c89a93f4b09632b4700bc543"
